id,cleaned_text,label,label_numeric
102,sok tua bgt gue liatin anak kuliah trs mikir 'ih kangen ya kuliah' padahal lu stress skripsi aja gak sampe 6 bulan lalu wakakakakak tp kangen kelas beneran,not_hate_speech,0
103,masa bodoh dengan muda-mudi yang lalu-lalang. Kami para orang tua juga ingin bermesra-ria. Sebelum melalui masa di mana periksa gawai 'tuk dapat kabar lebih sering dari biasanya.,not_hate_speech,0
104,aku malah ngiranya pas pertama tuh balon yang dibentuk anjing gitu,not_hate_speech,0
105,korang yg ada akal sihat ni pun kalau kwn2 or any strangers ckp kt parents kau mcm takde respect potong org tua tgh becakap. Kau sebagai anak takkan tak menyirap? Kalau kau tak menyirap atau bengang kau letak martabat mak bapak kau paling hina.,hate_speech,1
106,setiap course ada fungsi masing masing. Contohnya HR buat kerja admin. Engineer buat kerja manufacturing. Accountant buat kerja bidang finance blablabla dalam satu agency. So mana mana course pon takde yang bodoh. We complimenting each other.,not_hate_speech,0
107,tua bodoh di dalam org jualan banyak,hate_speech,1
108,sumpah iya knp kaget pas gay bar bal isi,hate_speech,1
109,awat bahagian lutut belah kanan nie kali nak lipat org nak duduk sujud azabbb masuk minggu dh nie adeii,not_hate_speech,0
110,sunda cakep cakep ken sunda,not_hate_speech,0
111,muka dukung map r nder ubah classic gimanapun tetep kepake senyum kali coba beli heads accesories,not_hate_speech,0
112,laki laki islam restu,not_hate_speech,0
113,sungguh sadar spiritual nusantara unggul bawa datang import,hate_speech,1
114,tulis dokter tifa giring opini pakai fotoijazahnya dumatno kalimat kelak dewasa si kacamata pakai kumis,not_hate_speech,0
115,indonesia sj dpt pimpin org pimpin citra baik d maju pimpin cipta sejahtera ny kerja didik sehat jamin,hate_speech,1
116,malem rewatch bong era mulung,not_hate_speech,0
117,ang la ang context ka otak lampau otak ang nak benda okay suruh p mintak sedekah dasar otak,hate_speech,1
118,gais sori take down takut ibu sensor,not_hate_speech,0
119,siii kayak,not_hate_speech,0
120,pecat penjara minim biar mampus penjara,hate_speech,1
121,nno mmg beda jawa saos depan,not_hate_speech,0
122,ilmu demografi kokpoin inti org jamin asuransi jhtnya knp ngr tumbuh duduk tinggiamp maju lbh longgar rencana tumbuh minusanak,not_hate_speech,0
123,mamak gamau cerai lho kea gin cerai tuhan kek tuhan nyuruh,not_hate_speech,0
124,tekstur pakai retinol,not_hate_speech,0
125,heran tpi ig emng setel orng emng sengklek,not_hate_speech,0
126,cek d madura besi,not_hate_speech,0
127,udahlah bocah mending diam an mending mandi bantuin cari,not_hate_speech,0
128,jawa target,not_hate_speech,0
129,ken kenal bibit bobot bebet tembok cina,not_hate_speech,0
130,hrusnya ak garagara stages of grief part mulut gabisa jaga,hate_speech,1
131,mampir cek vid,not_hate_speech,0
132,jakarta medio sebutin rame pacar kota malem perform band,not_hate_speech,0
133,taknah try nak seksa tengkuk lani susu set dada susu usgsjshshshsh luat,not_hate_speech,0
134,nonton pb adegan jordan feli ken adegan fattzar zara aslam or biar fandez gendong zara kasi bocah hantu selingkuh,hate_speech,1
135,dongg financially emotionally stable dewasa tenang minus sibuk prioritas buat seumprit gpp cewek hoho,not_hate_speech,0
136,siksa alam cerita dongeng wanita yahudi percaya muhamad,hate_speech,1
137,jiyoung debut nama umur matang saing industri muda baby idol dewasa mau,not_hate_speech,0
138,syarat vasektomi terima bansos org vasektomi muda mao bansosgk vasektomi otomatis mreka usaha,not_hate_speech,0
139,istri islam lawa agam istri,not_hate_speech,0
140,hama bantu noba narashavuje naratutse canke nishuye nabi muruwumwaka turangije mukome kamusosi nimwe mwansotoye no muruwu mwaka dutanguye musubiye kandi urwembe nirurya nyene,not_hate_speech,0
141,program strategis merauke butuh libat muda biar papua maju,not_hate_speech,0
142,oten bangga omong niap post vt bangga nx asli adem ayem hudup m lhr smp ky gin d mayoritas islam,hate_speech,1
143,ahok dikatain cina kafir komunis ama fans miltan kubu sono anies dibales dikatain imigran yaman trus kayak duet,hate_speech,1
144,oalaah beli org nyebutnya stw tuwo,not_hate_speech,0
145,pesona bang sosok rakyat tonjol darah biru pimpin jakarta indonesia,not_hate_speech,0
146,semester sepi anying semester,hate_speech,1
147,si midori majo depan muncul ngeship ciel gemes btw jahat ortunya manfaatin jenius anak sampe rela cacat kasi woy kaki sampe gabisa jalan biadab,hate_speech,1
148,ak,not_hate_speech,0
149,aghhhhhh bisa gin bangke,hate_speech,1
150,aktor aktris korea gacor babiii main boys over flowers,hate_speech,1
151,gubernur jawa barat dedi mulyadi lapor komnas ham wali murid buntut bijak kirim siswa barak militer lapor wali murid berat program didik nilai,not_hate_speech,0
152,gerak bareng bareng prabowo food estate papua solidaritas kental,not_hate_speech,0
153,rusli dang mending kenalin cewek cowo tara kadang teman adik or cowo satu kenalin tara,not_hate_speech,0
154,la hangen la keje pasang banner la potong buluh pasang bendera la tido surau minggu ikhlas hati jentera pas alam main je la menang menang nak muntah tengok,hate_speech,1
155,islam wajib hormat perintah qs alisra ayat qs lukman ayat ustad hukum fikih hubung islam nonmuslim komentar lompat pagar,not_hate_speech,0
156,minum mertua kesel banjur air keran depan tolong minum lamaaaa semenjak nikah ngaran we karang taruna sesat tai lapor,hate_speech,1
157,nanya asli kaltim asli pribumi ngerti bahasa turuntemurun,not_hate_speech,0
158,pakai sidik jari akal pakai sidik jari print fingernya absensi rs,not_hate_speech,0
159,kepala polisi papua serta staf jajar dunia juni irjen pol patrige r renwarin sh kapolda papua,not_hate_speech,0
160,jawa jkw u,hate_speech,1
161,diuneni bahasa jawa,not_hate_speech,0
162,banyak sunda nonton video anggukangguk semangat bara tuju,not_hate_speech,0
163,aksi pribumi poso bela,not_hate_speech,0
164,maslaahnya stunting istri korban laku judol repot tetangga gegara suami judol istri susah tetangga ngasih lauk anak,not_hate_speech,0
165,blue or white collar emg permasalahin umur blue collar level dasar spesialis expert umur,not_hate_speech,0
166,arak yuko yamaken oryo ryusei lahhh kirain or,not_hate_speech,0
167,jabat indonesia buat tindak hukum anut demokrasi jabat action komunis,not_hate_speech,0
168,diri madrasah alkhairaat kembang lembaga didik islam pengaruh palu satu organisasi islam besar sulawesi indonesia timur,not_hate_speech,0
169,hasan rr kawal diriemosi korg pro nepotisma komplen,not_hate_speech,0
170,boking stw jilboobs to stw nyepongnya brutal enak stw enak stw binal ngeponf hijab ajak,hate_speech,1
171,temen kampus,not_hate_speech,0
172,maksud wisuda aceh lapor tangkap ada wisuda larang bijak nasional juni wisuda wajib beban larang wisuda formal,not_hate_speech,0
173,ngelantur gaji sampe kah maksud,hate_speech,1
174,bayang si cina njir,hate_speech,1
175,bapok sodomist bontot jantan liar putrajaya,hate_speech,1
176,jerawat muncul minyak lebay poripori gede lubang pintu bersih ringan berapa amazed hasil masker ribu expect bagus,not_hate_speech,0
177,oren kek susah gasih rann nemu tl twitt ori,not_hate_speech,0
178,ngerti banyak konservatif sorry but kesini ngerti liberal folks mau atp they just look islamophobe to me,hate_speech,1
179,dipakein softlen biru bule beb,not_hate_speech,0
180,lawan city kemarin nonton bareng,not_hate_speech,0
181,hmmm,not_hate_speech,0
182,adab jawa duduk buka diri biar sopan hdehh jawa jawaaaa,hate_speech,1
183,eh war sampe bawa bawa,hate_speech,1
184,gabisa bahasa sunda lemes wkw ngobrol lancar naluri kali naluri ngobrol,not_hate_speech,0
185,istri,not_hate_speech,0
186,ih dtg dpt kipas gambar neng,not_hate_speech,0
187,without notice muak mau exemption konser bus ambil putus pemerintahelit kaget pas jin wamil,not_hate_speech,0
188,teknologi main x nama teknologi si kerja babu,hate_speech,1
189,wisuda kebahagian tuasalah satu yah minimal ip bangga,not_hate_speech,0
190,tipe sunda guilt trip gin nyokap bokap bibi om,not_hate_speech,0
191,kuliah malang fyi hidup akamsi malang fasilitator datang neko neko kakean polah cause awas,not_hate_speech,0
192,yap kemaren jadiin vasektomi syarat bansos digaslighting,not_hate_speech,0
193,nemu barusan film,not_hate_speech,0
194,bawa omakase bawa naneun omah neo sulit,not_hate_speech,0
195,ngotot jalan jalan kota balijakarta sana tani bantu ladang tetangga putus ujung kota karna maksa,not_hate_speech,0
196,lanjut tubir brooo jawa barat kondisi,not_hate_speech,0
197,serius asli felly ky cantik,not_hate_speech,0
198,pejam mata bayang dokyeom,not_hate_speech,0
199,pikir cacat otak gimana,hate_speech,1
200,saksi buat hasil ngutang bere si ko usaha ituh buah buah riba raja rela ituh akibat harta tahta gila wanita kuasa ps warna lintas,hate_speech,1
201,banci berani bales coba cupu,hate_speech,1
202,lahir org egois anak kaga provide anak anak dpt gizi dpt didik orgtua hah,hate_speech,1
203,tinggal tanah sunda platnya d ditambahin k bjir gaya,not_hate_speech,0
204,kampung norak norak bin kampung luhut hercules butut,hate_speech,1
205,btw jakarta jawa barat jawa barat lapor dibolehin pisah mungut siswa,not_hate_speech,0
206,wkwkwk racun beli mindful beli lipstick warna warna kulit beda beda bibir dicocokin warna lipstick,not_hate_speech,0
207,i ami sakitt a aah sakitttgok bengkak i cian ami cebikk a da sape kena nang nihh,not_hate_speech,0
208,ih makan pedes sunda,not_hate_speech,0
209,wadauu habib yaman cucu palsu buat makom palsu asli yahudi india dawirnya laku sadar pribumi mulia mu yayah cucu palsu dna g,hate_speech,1
210,bahas bahas background dll sesat,hate_speech,1
211,seko jaminin dirudung kaka seko jamin bentak pantau lemah pantau seko rumah konteks nakal bawah merudung sekolah,not_hate_speech,0
212,gaji kecik disalahfahami org banting better jaga hati jer ok fine finalized just chill takat pay grade jer takyah nak adun or waibi,not_hate_speech,0
213,pelihara islam ajar bab bakti bab nikah biar telen mentah reply org praktekin asal blok,hate_speech,1
214,tidur istri coba masa lelaki melarat miskin lacur beli suam jauh bawa dapur bakar suami diam amarahnya bencana,hate_speech,1
215,coach jawa iyaa bener cape gin ah mah ahahaha butuh istirahat iya bang istirahat minimal mah,not_hate_speech,0
216,sejal duduk diam rak buku buku hukum teologi kristen isi aroma halaman akrab rak isi bukubuku pilih waris,not_hate_speech,0
217,jenis manusia ajak allah kiamat allah suci memandng kpd mrka bgi siksa pedih laki zina dusta sombong hr muslim,hate_speech,1
218,prabowo hutan peduli bisnis pandang hutan ekosistem hidup ladang komoditas ekstraktif sawit profit tipe watak kelas oligarkikapitalis,not_hate_speech,0
219,sayangkuu ibey mls gian elu egois anying nyuruh resign ewhh,hate_speech,1
220,manusia kenal,not_hate_speech,0
221,ko ajar hilang ii dtg tngk sek cari sek sek cakap takde la bang umur dar la bongkok nak stop or blah kaa,hate_speech,1
222,tuju gosah bkin org ken harap bantu eknomu kluarga bntuin sklh adeknya tanggung jwbnya org nafkahin didik kasihan si peras,hate_speech,1
223,ngiang kepala wkw maaf gda waris org gbisa ngasih problematik jgn dh,hate_speech,1
224,aduh argumen tahu nikah red flag gmnpun kliatan sadar maksa nikah cewek takut anak laku anak hamil duluan,not_hate_speech,0
225,cowo indo nikmat bokep jepang burik dekil bau sadar bentuk pede ken perempuan spek artis jav jepang yaa karna patok cowo main bokepnya kadang berkonti,hate_speech,1
226,asupan baru cek profil,not_hate_speech,0
227,ken acara wisuda sma berat,not_hate_speech,0
228,muak muak jahat deal deal beda sampah teriak radikal suara,hate_speech,1
229,dee neo,not_hate_speech,0
230,mantep aktivis buzzer bayar,hate_speech,1
231,beda agama putus uncrush si abang batak,not_hate_speech,0
232,hasil lengkap tanding cabang olahraga polo air tiga kejurnas akuatik indonesia putra tentu peringkat th jawa timur sumatera barat babak semifinal dki jakarta yogyakarta jawa barat jambi,not_hate_speech,0
233,hbd dah biar ntar laptop,not_hate_speech,0
234,peernya islam ajar tauhid pas dewasa karna tuapengajaran tauhid,not_hate_speech,0
235,usul kapitalis modern,not_hate_speech,0
236,muda pilih main plis jgn dengerin sesat sukses din tampar umur,not_hate_speech,0
237,lawan anying co if you let them do that theyll control you forever maaf org mreka waras maapin ngulang kenang temen umur mas muda ulang,hate_speech,1
238,mah edukasi org hubunganya pinter org edukasi banyak org egois maksa mikrnya kesna wkwkwkwkw nyambung,not_hate_speech,0
239,banci mangkal huni kubur deli,hate_speech,1
240,bau tanah mesti tanggung rusak mental rakyatnja salah fatal teroris konstitusi,hate_speech,1
241,temen dinasehatin ayah persis gin laki sukses umur capai goalsnya mapan umur sampe hidup,not_hate_speech,0
242,trus takut rekam trauma lintas generasi mikul takut gamau caregiver gamau nyusahin pas mapan gimana trauma,not_hate_speech,0
243,duga anies menang menang prabowo gilir duga indonesia piala gilir maju muda umur anies usia puan maharani ahy gibran kaesang,not_hate_speech,0
244,iyaa pantes cina maju,not_hate_speech,0
245,komplot culi ye ih jauh takut telanjang cowo ih homo ih gay ih pedo,hate_speech,1
246,lagu,not_hate_speech,0
247,heueueueeuuu w laku produk layan langgan tutup hunt tutup depok jawa timur jawa barat jawa timur indonesia kenang tema,not_hate_speech,0
248,puak tunggang agama ahli soesis babi,hate_speech,1
249,laki or perempuan jenis lekat velcro velcro,not_hate_speech,0
250,alahaidah pembangkangnormal hentam raja bangkang puji izzah patut was was si sapiq halim ckp psl pmxapa qazafyang engkau nak engagement psl bingai,hate_speech,1
251,kecil gin g heran besar g contoh g nikah g bayangin keras g syg org bareng ngerasain pas jga susahp,hate_speech,1
252,halo proses dating gunung padang kontroversial lapis duga alami soil endap vulkanik artefak sulit bukti buat manusia studi klaim tarik metode cacat soil merta,not_hate_speech,0
253,sampeyan ingkar thdp tuhan buat baik kpd karib kerabat yatim tetangga jawat ibnusabil hamba sahaya milik sungguh allah suka sombong bangga,not_hate_speech,0
254,je benda mcmni elok kt pon gatal nk ajak kawin je dh pon,not_hate_speech,0
255,nikah hype homo sampe g,hate_speech,1
256,make up adat batak karya bold cocok padu nikah adat batak boldnya eyeshadow warna coklat lipstik merah lipstik merah identik nikah adat batak,not_hate_speech,0
257,ken gin ken sukses biar insecure insecurean,not_hate_speech,0
258,bejat ngardus mulu ehhh kakek sadar layu,hate_speech,1
259,belive or not langsung nang sempurna laku ak sgt baikkkkkfeeling luckyy sayang begitu,not_hate_speech,0
260,result pasar oregon result sah shio wa official,not_hate_speech,0
261,mjb keluarga org jawa terap silaturahmiin gantung,not_hate_speech,0
262,rakit bom dasar otak kerbau komunis lou pindah,hate_speech,1
263,turutin balas surga iblis ngebisikinnya kata emak hapus pikir kolot alami,not_hate_speech,0
264,mas ngerasa usia stuck or even less nyadar,not_hate_speech,0
265,berkat papua tenang jalan bangun manfaat,not_hate_speech,0
266,jaksa agung hakim polisi dll sentil amat ambil bijak radikal berantas korupsi uu miskin polisi jaksa kerah penting politis,not_hate_speech,0
267,member org gaji hanat babi perangai benak la ea manusia gin gaya pesan kt org suis tutup weh palat kipas n iron tutup fck,hate_speech,1
268,bang,not_hate_speech,0
269,jaman kelas sprt lumrah kmpung bnyak pnduduk datang jawa maaf brmaksud datang sprt brebes cilacap area kbnykn dr org tua mreka sibuk smpai nyris tidak pduli trhadap anak.,not_hate_speech,0
270,bule potensi,not_hate_speech,0
271,salah unggul top creative legislature purwakarta tata kota full rencana jaman belanda mbg jawa barat satgas anti preman masuk,not_hate_speech,0
272,pro gausah anak mulu pls egois kasi anakanak ikut derita,hate_speech,1
273,realita bgtu org jaman hadeuh bner wisuda ama pisah beban org mahal kadang biaya,not_hate_speech,0
274,dar flash back spy sesat jalan nambah ilmu dinamika partai,not_hate_speech,0
275,wajar filter tonton anak muslim bully unsur agama islam film jumbo,not_hate_speech,0
276,wkwkw as batak people anjirnk,not_hate_speech,0
277,sepupu duaduanya manggil teteh kadang manggil manggil pakai reply adat jawa keluarga pure sunda,not_hate_speech,0
278,pngamatanku pnyebab utama stres jaman mostly gara cognitive dissonance gamau anak gadget ending wes gpp g makan dasar g expect ong capek,not_hate_speech,0
279,tolong umpetin hp si hendry mabok agen telpon anying,hate_speech,1
280,makmur urut shio sultan,not_hate_speech,0
281,korban ledak amunisi garut asuh dedi mulyadi gubernur jawa barat dedi mulyadi asuh anakanak korban ledak amunisi usang garut,not_hate_speech,0
282,yap wajar rumah temen ketawa ketawa. Tapi pas pulang kerumah langsung muka merengut sedih. Tapi bukan sedih karna pisah sama temen. Tapi sedih karna harus kerumah lagi Kek kalo kerumah tuh pasti bawaan males sedih gak mau kerumah lagi,not_hate_speech,0
283,hypocrite ekor kutuk,hate_speech,1
284,malaikat arwah penasaran wara wiri surga islam kumpul cinta suami istri sodara dunia aplg surga no,not_hate_speech,0
285,pnya kk ipar kk ipar pnya istri posisi menantu perempuan istri kk ipar lbh muda manggil istri kk ipar ttp mbakk panggil langsung kesel hormat posisi lbh,not_hate_speech,0
286,perempuan makan jodoh perawan mitos jawa ktnyaa,not_hate_speech,0
287,pene,not_hate_speech,0
288,elok simbah je pakcik cat merah ah long,hate_speech,1
289,bijak vasektomi anak beasiswa sulit hukum minimal kebiri anak kebiri adil gara berani gilir duit takut,hate_speech,1
290,ahhh tenyata yaa temenku sunda jwb pikir org kolot nambahin beban kakak perempuan,not_hate_speech,0
291,tunduk amerika alih produk ekspor henti beli barang amerika trumpitu bayi tantrum biar guling tanah berakberak,hate_speech,1
292,berita april yerusalem suci kota sabtu suci april upacara suci minggu paskah april polisi israel batas akses umat kristen sebab konfrontasi umat kristen lapor,not_hate_speech,0
293,nyangka lagu dengerin hp bapak pas ngedj,not_hate_speech,0
294,ketawa,not_hate_speech,0
295,buzzer teroris banteng mulyono penting rusak,hate_speech,1
296,ijazah gaib usul gaib esemka gaib gaib presidensi gaib ilegal sah makzul gibran adil wiwi,hate_speech,1
297,program mbg bantu edukasi pola gizi sehat imbang anakanak papua cemerlang,not_hate_speech,0
298,seru haji panggil allah sengaja tinggal pergi kejar panggil manusia pulak manusia panggil si nyanyuk gigih laung menang islam prk lawan calon yahudi zionis duadua calon ustaz,hate_speech,1
299,lho vietnam komunis indonesia pancasila,not_hate_speech,0
300,suruh ngaji maap islam aktivis ngaji kantor bau bau teroris,hate_speech,1
301,arin cape arin nilai arin nilaipadahal cape gedor kamar ajar lupa rebah mulu arin ajar ken istirahat,not_hate_speech,0
302,la org je caya gilaaa,hate_speech,1
303,afrika selatan duduk namibia duduk,not_hate_speech,0
304,muda th th gabisa,not_hate_speech,0
305,semangat kakek ajak maju pantang mundur brother nicholas,not_hate_speech,0
306,jawa fanatik agama ajar agama bener suruh cium kaki kyai,hate_speech,1
307,beda ari pesona lelaki mah,not_hate_speech,0
308,produktif rada karbitan basa sunda temen bisa halus mah gabisa,not_hate_speech,0
309,la akal,hate_speech,1
310,pas tempat si aura ngadu study tour bal alas si aura pisah adik adil acara pisah whyyyyy,not_hate_speech,0
311,mahasiswa kampus benteng radikalisme,not_hate_speech,0
312,prediksi togel oregon main colok bebas d top d top d top d shio monyet twins prediksi hukum toto,not_hate_speech,0
313,mending ngajak org makan jgn mall cari makan sunda ampera resto makan indonesia kakanya senin duluan,not_hate_speech,0
314,paksa vaksetomi syarat bansos jujur tuju bebal kolot nyata praktek lapang susahhhhhhhh ngedukasi ketawain tipe,hate_speech,1
315,cobainn moga km dpt mainn resto bawa tema jawa nahh es puter km menu adaa enakk cari pinggir langka,not_hate_speech,0
